model,states,policy,escapement
1,0,1,0
1,0.100418410041841,1,0.100418410041841
1,0.200836820083682,1,0.200836820083682
1,0.301255230125523,1,0.301255230125523
1,0.401673640167364,1,0.401673640167364
1,0.502092050209205,1,0.502092050209205
1,0.602510460251046,1,0.602510460251046
1,0.702928870292887,1,0.702928870292887
1,0.803347280334728,1,0.803347280334728
1,0.9037656903765691,1,0.9037656903765691
1,1.00418410041841,1,1.00418410041841
1,1.104602510460251,1,1.104602510460251
1,1.205020920502092,1,1.205020920502092
1,1.3054393305439331,1,1.3054393305439331
1,1.405857740585774,1,1.405857740585774
1,1.506276150627615,1,1.506276150627615
1,1.606694560669456,1,1.606694560669456
1,1.707112970711297,1,1.707112970711297
1,1.8075313807531381,1,1.8075313807531381
1,1.907949790794979,1,1.907949790794979
1,2.00836820083682,1,2.00836820083682
1,2.1087866108786613,1,2.1087866108786613
1,2.209205020920502,1,2.209205020920502
1,2.309623430962343,1,2.309623430962343
1,2.410041841004184,1,2.410041841004184
1,2.510460251046025,1,2.510460251046025
1,2.6108786610878663,1,2.6108786610878663
1,2.711297071129707,1,2.711297071129707
1,2.811715481171548,1,2.811715481171548
1,2.912133891213389,1,2.912133891213389
1,3.01255230125523,1,3.01255230125523
1,3.1129707112970713,1,3.1129707112970713
1,3.213389121338912,1,3.213389121338912
1,3.313807531380753,1,3.313807531380753
1,3.414225941422594,1,3.414225941422594
1,3.514644351464435,1,3.514644351464435
1,3.6150627615062763,1,3.6150627615062763
1,3.715481171548117,1,3.715481171548117
1,3.815899581589958,1,3.815899581589958
1,3.916317991631799,1,3.916317991631799
1,4.01673640167364,1,4.01673640167364
1,4.117154811715481,1,4.117154811715481
1,4.2175732217573225,1,4.2175732217573225
1,4.317991631799163,1,4.317991631799163
1,4.418410041841004,1,4.418410041841004
1,4.518828451882845,1,4.518828451882845
1,4.619246861924686,1,4.619246861924686
1,4.7196652719665275,1,4.7196652719665275
1,4.820083682008368,1,4.820083682008368
1,4.920502092050209,1,4.920502092050209
1,5.02092050209205,1,5.02092050209205
1,5.121338912133891,1,5.121338912133891
1,5.2217573221757325,1,5.2217573221757325
1,5.322175732217573,1,5.322175732217573
1,5.422594142259414,1,5.422594142259414
1,5.523012552301255,1,5.523012552301255
1,5.623430962343096,1,5.623430962343096
1,5.7238493723849375,1,5.7238493723849375
1,5.824267782426778,1,5.824267782426778
1,5.924686192468619,1,5.924686192468619
1,6.02510460251046,1,6.02510460251046
1,6.125523012552301,1,6.125523012552301
1,6.2259414225941425,1,6.2259414225941425
1,6.326359832635983,1,6.326359832635983
1,6.426778242677824,1,6.426778242677824
1,6.527196652719665,1,6.527196652719665
1,6.627615062761506,1,6.627615062761506
1,6.7280334728033475,1,6.7280334728033475
1,6.828451882845188,1,6.828451882845188
1,6.928870292887029,1,6.928870292887029
1,7.02928870292887,1,7.02928870292887
1,7.129707112970711,1,7.129707112970711
1,7.2301255230125525,1,7.2301255230125525
1,7.330543933054393,1,7.330543933054393
1,7.430962343096234,1,7.430962343096234
1,7.531380753138075,1,7.531380753138075
1,7.631799163179916,1,7.631799163179916
1,7.7322175732217575,1,7.7322175732217575
1,7.832635983263598,1,7.832635983263598
1,7.933054393305439,1,7.933054393305439
1,8.03347280334728,2,7.933054393305439
1,8.133891213389122,3,7.93305439330544
1,8.234309623430962,4,7.933054393305438
1,8.334728033472803,5,7.933054393305439
1,8.435146443514645,6,7.93305439330544
1,8.535564853556485,7,7.933054393305439
1,8.635983263598327,8,7.93305439330544
1,8.736401673640167,9,7.933054393305438
1,8.836820083682008,10,7.933054393305439
1,8.93723849372385,11,7.93305439330544
1,9.03765690376569,12,7.933054393305439
1,9.138075313807532,13,7.93305439330544
1,9.238493723849372,14,7.933054393305438
1,9.338912133891213,15,7.933054393305439
1,9.439330543933055,16,7.93305439330544
1,9.539748953974895,17,7.933054393305439
1,9.640167364016737,18,7.93305439330544
1,9.740585774058577,19,7.933054393305438
1,9.841004184100418,20,7.933054393305439
1,9.94142259414226,21,7.93305439330544
1,10.0418410041841,22,7.933054393305438
1,10.142259414225942,23,7.93305439330544
1,10.242677824267782,24,7.933054393305438
1,10.343096234309623,25,7.933054393305439
1,10.443514644351465,26,7.93305439330544
1,10.543933054393305,27,7.933054393305438
1,10.644351464435147,28,7.93305439330544
1,10.744769874476987,29,7.933054393305438
1,10.845188284518828,30,7.933054393305439
1,10.94560669456067,31,7.93305439330544
1,11.04602510460251,32,7.933054393305438
1,11.146443514644352,33,7.93305439330544
1,11.246861924686192,34,7.933054393305438
1,11.347280334728033,35,7.933054393305439
1,11.447698744769875,36,7.93305439330544
1,11.548117154811715,37,7.933054393305438
1,11.648535564853557,38,7.93305439330544
1,11.748953974895397,39,7.933054393305438
1,11.849372384937238,40,7.933054393305439
1,11.94979079497908,41,7.93305439330544
1,12.05020920502092,42,7.933054393305439
1,12.150627615062762,43,7.933054393305439
1,12.251046025104602,44,7.933054393305438
1,12.351464435146443,45,7.933054393305439
1,12.451882845188285,46,7.93305439330544
1,12.552301255230125,47,7.933054393305439
1,12.652719665271967,48,7.933054393305439
1,12.753138075313807,49,7.933054393305438
1,12.853556485355648,50,7.933054393305439
1,12.95397489539749,51,7.93305439330544
1,13.05439330543933,52,7.933054393305439
1,13.154811715481172,53,7.933054393305439
1,13.255230125523012,54,7.933054393305438
1,13.355648535564853,55,7.933054393305439
1,13.456066945606695,56,7.93305439330544
1,13.556485355648535,57,7.933054393305439
1,13.656903765690377,58,7.933054393305439
1,13.757322175732217,59,7.933054393305438
1,13.857740585774058,60,7.933054393305439
1,13.9581589958159,61,7.93305439330544
1,14.05857740585774,62,7.933054393305439
1,14.158995815899582,63,7.933054393305439
1,14.259414225941422,64,7.933054393305438
1,14.359832635983263,65,7.933054393305439
1,14.460251046025105,66,7.93305439330544
1,14.560669456066945,67,7.933054393305439
1,14.661087866108787,68,7.933054393305439
1,14.761506276150627,69,7.933054393305438
1,14.861924686192468,70,7.933054393305439
1,14.96234309623431,71,7.93305439330544
1,15.06276150627615,72,7.933054393305439
1,15.163179916317992,73,7.933054393305439
1,15.263598326359832,74,7.933054393305438
1,15.364016736401673,75,7.933054393305439
1,15.464435146443515,76,7.93305439330544
1,15.564853556485355,77,7.933054393305439
1,15.665271966527197,78,7.933054393305439
1,15.765690376569037,79,7.933054393305438
1,15.866108786610878,80,7.933054393305439
1,15.96652719665272,81,7.93305439330544
1,16.06694560669456,82,7.933054393305438
1,16.1673640167364,83,7.933054393305438
1,16.267782426778243,84,7.93305439330544
1,16.368200836820083,85,7.933054393305438
1,16.468619246861923,86,7.933054393305438
1,16.569037656903767,87,7.93305439330544
1,16.669456066945607,88,7.93305439330544
1,16.769874476987447,89,7.933054393305438
1,16.87029288702929,90,7.93305439330544
1,16.97071129707113,91,7.93305439330544
1,17.07112970711297,92,7.933054393305438
1,17.17154811715481,93,7.933054393305438
1,17.271966527196653,94,7.93305439330544
1,17.372384937238493,95,7.933054393305438
1,17.472803347280333,96,7.933054393305438
1,17.573221757322177,97,7.93305439330544
1,17.673640167364017,98,7.93305439330544
1,17.774058577405857,99,7.933054393305438
1,17.8744769874477,100,7.93305439330544
1,17.97489539748954,101,7.93305439330544
1,18.07531380753138,102,7.933054393305438
1,18.17573221757322,103,7.933054393305438
1,18.276150627615063,104,7.93305439330544
1,18.376569037656903,105,7.933054393305438
1,18.476987447698743,106,7.933054393305438
1,18.577405857740587,107,7.93305439330544
1,18.677824267782427,108,7.93305439330544
1,18.778242677824267,109,7.933054393305438
1,18.87866108786611,110,7.93305439330544
1,18.97907949790795,111,7.93305439330544
1,19.07949790794979,112,7.933054393305438
1,19.17991631799163,113,7.933054393305438
1,19.280334728033473,114,7.93305439330544
1,19.380753138075313,115,7.933054393305438
1,19.481171548117153,116,7.933054393305438
1,19.581589958158997,117,7.93305439330544
1,19.682008368200837,118,7.93305439330544
1,19.782426778242677,119,7.933054393305438
1,19.88284518828452,120,7.93305439330544
1,19.98326359832636,121,7.93305439330544
1,20.0836820083682,122,7.933054393305438
1,20.18410041841004,123,7.933054393305438
1,20.284518828451883,124,7.93305439330544
1,20.384937238493723,125,7.933054393305438
1,20.485355648535563,126,7.933054393305438
1,20.585774058577407,127,7.93305439330544
1,20.686192468619247,128,7.93305439330544
1,20.786610878661087,129,7.933054393305438
1,20.88702928870293,130,7.93305439330544
1,20.98744769874477,131,7.93305439330544
1,21.08786610878661,132,7.933054393305438
1,21.18828451882845,133,7.933054393305438
1,21.288702928870293,134,7.93305439330544
1,21.389121338912133,135,7.933054393305438
1,21.489539748953973,136,7.933054393305438
1,21.589958158995817,137,7.93305439330544
1,21.690376569037657,138,7.93305439330544
1,21.790794979079497,139,7.933054393305438
1,21.89121338912134,140,7.93305439330544
1,21.99163179916318,141,7.93305439330544
1,22.09205020920502,142,7.933054393305438
1,22.19246861924686,143,7.933054393305438
1,22.292887029288703,144,7.93305439330544
1,22.393305439330543,145,7.933054393305438
1,22.493723849372383,146,7.933054393305438
1,22.594142259414227,147,7.93305439330544
1,22.694560669456067,148,7.93305439330544
1,22.794979079497907,149,7.933054393305438
1,22.89539748953975,150,7.93305439330544
1,22.99581589958159,151,7.93305439330544
1,23.09623430962343,152,7.933054393305438
1,23.19665271966527,153,7.933054393305438
1,23.297071129707113,154,7.93305439330544
1,23.397489539748953,155,7.933054393305438
1,23.497907949790793,156,7.933054393305438
1,23.598326359832637,157,7.93305439330544
1,23.698744769874477,158,7.93305439330544
1,23.799163179916317,159,7.933054393305438
1,23.89958158995816,160,7.93305439330544
1,24,161,7.93305439330544
2,0,1,0
2,0.100418410041841,1,0.100418410041841
2,0.200836820083682,1,0.200836820083682
2,0.301255230125523,1,0.301255230125523
2,0.401673640167364,1,0.401673640167364
2,0.502092050209205,1,0.502092050209205
2,0.602510460251046,1,0.602510460251046
2,0.702928870292887,1,0.702928870292887
2,0.803347280334728,1,0.803347280334728
2,0.9037656903765691,1,0.9037656903765691
2,1.00418410041841,1,1.00418410041841
2,1.104602510460251,1,1.104602510460251
2,1.205020920502092,1,1.205020920502092
2,1.3054393305439331,1,1.3054393305439331
2,1.405857740585774,1,1.405857740585774
2,1.506276150627615,1,1.506276150627615
2,1.606694560669456,1,1.606694560669456
2,1.707112970711297,1,1.707112970711297
2,1.8075313807531381,1,1.8075313807531381
2,1.907949790794979,1,1.907949790794979
2,2.00836820083682,1,2.00836820083682
2,2.1087866108786613,1,2.1087866108786613
2,2.209205020920502,1,2.209205020920502
2,2.309623430962343,1,2.309623430962343
2,2.410041841004184,1,2.410041841004184
2,2.510460251046025,1,2.510460251046025
2,2.6108786610878663,1,2.6108786610878663
2,2.711297071129707,1,2.711297071129707
2,2.811715481171548,1,2.811715481171548
2,2.912133891213389,1,2.912133891213389
2,3.01255230125523,1,3.01255230125523
2,3.1129707112970713,1,3.1129707112970713
2,3.213389121338912,1,3.213389121338912
2,3.313807531380753,1,3.313807531380753
2,3.414225941422594,1,3.414225941422594
2,3.514644351464435,1,3.514644351464435
2,3.6150627615062763,1,3.6150627615062763
2,3.715481171548117,1,3.715481171548117
2,3.815899581589958,1,3.815899581589958
2,3.916317991631799,1,3.916317991631799
2,4.01673640167364,1,4.01673640167364
2,4.117154811715481,1,4.117154811715481
2,4.2175732217573225,1,4.2175732217573225
2,4.317991631799163,1,4.317991631799163
2,4.418410041841004,1,4.418410041841004
2,4.518828451882845,1,4.518828451882845
2,4.619246861924686,1,4.619246861924686
2,4.7196652719665275,1,4.7196652719665275
2,4.820083682008368,1,4.820083682008368
2,4.920502092050209,1,4.920502092050209
2,5.02092050209205,2,4.920502092050209
2,5.121338912133891,3,4.920502092050209
2,5.2217573221757325,4,4.920502092050209
2,5.322175732217573,5,4.920502092050209
2,5.422594142259414,6,4.920502092050209
2,5.523012552301255,7,4.920502092050209
2,5.623430962343096,8,4.920502092050209
2,5.7238493723849375,9,4.920502092050209
2,5.824267782426778,10,4.920502092050209
2,5.924686192468619,11,4.920502092050209
2,6.02510460251046,12,4.920502092050209
2,6.125523012552301,13,4.920502092050208
2,6.2259414225941425,14,4.920502092050209
2,6.326359832635983,15,4.920502092050209
2,6.426778242677824,16,4.920502092050209
2,6.527196652719665,17,4.920502092050209
2,6.627615062761506,18,4.920502092050208
2,6.7280334728033475,19,4.920502092050209
2,6.828451882845188,20,4.920502092050209
2,6.928870292887029,21,4.920502092050209
2,7.02928870292887,22,4.920502092050208
2,7.129707112970711,23,4.920502092050208
2,7.2301255230125525,24,4.92050209205021
2,7.330543933054393,25,4.920502092050209
2,7.430962343096234,26,4.920502092050209
2,7.531380753138075,27,4.920502092050208
2,7.631799163179916,28,4.920502092050208
2,7.7322175732217575,29,4.92050209205021
2,7.832635983263598,30,4.920502092050209
2,7.933054393305439,31,4.920502092050209
2,8.03347280334728,32,4.920502092050208
2,8.133891213389122,33,4.92050209205021
2,8.234309623430962,34,4.920502092050208
2,8.334728033472803,35,4.920502092050209
2,8.435146443514645,36,4.92050209205021
2,8.535564853556485,37,4.920502092050208
2,8.635983263598327,38,4.92050209205021
2,8.736401673640167,39,4.920502092050208
2,8.836820083682008,40,4.920502092050209
2,8.93723849372385,41,4.92050209205021
2,9.03765690376569,42,4.920502092050209
2,9.138075313807532,43,4.920502092050209
2,9.238493723849372,44,4.920502092050208
2,9.338912133891213,45,4.920502092050209
2,9.439330543933055,46,4.92050209205021
2,9.539748953974895,47,4.920502092050209
2,9.640167364016737,48,4.920502092050209
2,9.740585774058577,49,4.920502092050208
2,9.841004184100418,50,4.920502092050209
2,9.94142259414226,51,4.92050209205021
2,10.0418410041841,52,4.920502092050209
2,10.142259414225942,53,4.920502092050209
2,10.242677824267782,54,4.920502092050208
2,10.343096234309623,55,4.920502092050209
2,10.443514644351465,56,4.92050209205021
2,10.543933054393305,57,4.920502092050209
2,10.644351464435147,58,4.920502092050209
2,10.744769874476987,59,4.920502092050208
2,10.845188284518828,60,4.920502092050209
2,10.94560669456067,61,4.92050209205021
2,11.04602510460251,62,4.920502092050209
2,11.146443514644352,63,4.920502092050209
2,11.246861924686192,64,4.920502092050208
2,11.347280334728033,65,4.920502092050209
2,11.447698744769875,66,4.92050209205021
2,11.548117154811715,67,4.920502092050209
2,11.648535564853557,68,4.920502092050209
2,11.748953974895397,69,4.920502092050208
2,11.849372384937238,70,4.920502092050209
2,11.94979079497908,71,4.92050209205021
