DataID,MainID,Population,PopulationUntransformed,SampleYear,TimePeriodID,Generation,SeriesStep,DecimalYearBegin,DecimalYearEnd,TaxonID,DataSourceID,BiotopeID,LocationID,SamplingUnits,SamplingProtocol,SourceDimension,SamplingEffort,SpatialDensity,SourceTransform,SourceTransformReference,AssociatedDataSets,Reliability,StartYear,EndYear,SamplingFrequency,DatasetLength,Notes,SiblyFittedTheta,SiblyThetaCILower,SiblyThetaCIUpper,SiblyExtremeNEffect,SiblyReturnRate,SiblyCarryingCapacity,TaxonName,CommonName
729333,5019,0.8,6.309573445,1936,408,NA,0,1936,1937,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729334,5019,0.85,7.079457844,1937,408,NA,1,1937,1938,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729335,5019,1.1,12.58925412,1938,408,NA,2,1938,1939,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729336,5019,1.11,12.88249552,1939,408,NA,3,1939,1940,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729337,5019,1.24,17.37800829,1940,408,NA,4,1940,1941,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729338,5019,1.26,18.19700859,1941,408,NA,5,1941,1942,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729339,5019,0.85,7.079457844,1942,408,NA,6,1942,1943,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729340,5019,1.18,15.13561248,1943,408,NA,7,1943,1944,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729341,5019,1.22,16.59586907,1944,408,NA,8,1944,1945,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729342,5019,1.11,12.88249552,1945,408,NA,9,1945,1946,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729343,5019,1.01,10.23292992,1946,408,NA,10,1946,1947,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729344,5019,1.1,12.58925412,1947,408,NA,11,1947,1948,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729345,5019,1.25,17.7827941,1948,408,NA,12,1948,1949,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729346,5019,1.22,16.59586907,1949,408,NA,13,1949,1950,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729347,5019,1.28,19.05460718,1950,408,NA,14,1950,1951,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729348,5019,1.3,19.95262315,1951,408,NA,15,1951,1952,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729349,5019,1.4,25.11886432,1952,408,NA,16,1952,1953,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729350,5019,1.41,25.70395783,1953,408,NA,17,1953,1954,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729351,5019,1.3,19.95262315,1954,408,NA,18,1954,1955,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729352,5019,1.26,19.05460718,1955,408,NA,19,1955,1956,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729353,5019,1.3,19.95262315,1956,408,NA,20,1956,1957,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729354,5019,1.26,18.19700859,1957,408,NA,21,1957,1958,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729355,5019,1.25,17.7827941,1958,408,NA,22,1958,1959,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729356,5019,1.2,15.84893192,1959,408,NA,23,1959,1960,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729357,5019,1.15,14.12537545,1960,408,NA,24,1960,1961,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729358,5019,1.15,13.80384265,1961,408,NA,25,1961,1962,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729359,5019,1.05,11.22018454,1962,408,NA,26,1962,1963,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729360,5019,1.06,11.48153621,1963,408,NA,27,1963,1964,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729361,5019,1.05,11.22018454,1964,408,NA,28,1964,1965,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729362,5019,1,10,1965,408,NA,29,1965,1966,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729363,5019,1.09,12.30268771,1966,408,NA,30,1966,1967,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729364,5019,1.15,14.12537545,1967,408,NA,31,1967,1968,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729365,5019,1,10,1968,408,NA,32,1968,1969,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729366,5019,0.9,7.943282347,1969,408,NA,33,1969,1970,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729367,5019,1.09,12.30268771,1970,408,NA,34,1970,1971,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729368,5019,1.08,12.30268771,1971,408,NA,35,1971,1972,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729369,5019,1.13,13.48962883,1972,408,NA,36,1972,1973,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729370,5019,1.18,15.13561248,1973,408,NA,37,1973,1974,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729371,5019,1.23,16.98243652,1974,408,NA,38,1974,1975,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729372,5019,1.23,16.98243652,1975,408,NA,39,1975,1976,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729373,5019,1.25,17.7827941,1976,408,NA,40,1976,1977,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729374,5019,1.3,19.95262315,1977,408,NA,41,1977,1978,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729375,5019,1.29,19.498446,1978,408,NA,42,1978,1979,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729376,5019,1.26,18.19700859,1979,408,NA,43,1979,1980,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729377,5019,1.26,18.19700859,1980,408,NA,44,1980,1981,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729378,5019,1.26,18.19700859,1981,408,NA,45,1981,1982,790,80,101,414,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1936,1981,1,46,None,-1.58,-3.98,0.7,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729379,5020,0.7,5.011872336,1946,408,NA,0,1946,1947,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729380,5020,0.7,5.011872336,1947,408,NA,1,1947,1948,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729381,5020,0.88,7.58577575,1948,408,NA,2,1948,1949,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729382,5020,1.05,11.22018454,1949,408,NA,3,1949,1950,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729383,5020,1.1,12.58925412,1950,408,NA,4,1950,1951,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729384,5020,1.15,14.12537545,1951,408,NA,5,1951,1952,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729385,5020,1.2,15.84893192,1952,408,NA,6,1952,1953,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729386,5020,1.28,19.05460718,1953,408,NA,7,1953,1954,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729387,5020,1.27,18.62087137,1954,408,NA,8,1954,1955,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729388,5020,1.2,15.84893192,1955,408,NA,9,1955,1956,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729389,5020,1.23,16.98243652,1956,408,NA,10,1956,1957,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729390,5020,1.29,19.498446,1957,408,NA,11,1957,1958,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729391,5020,1.18,15.13561248,1958,408,NA,12,1958,1959,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729392,5020,1.19,15.48816619,1959,408,NA,13,1959,1960,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729393,5020,1.2,15.84893192,1960,408,NA,14,1960,1961,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729394,5020,1.3,19.95262315,1961,408,NA,15,1961,1962,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729395,5020,1.32,20.89296131,1962,408,NA,16,1962,1963,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729396,5020,1.33,21.3796209,1963,408,NA,17,1963,1964,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729397,5020,1.31,20.41737945,1964,408,NA,18,1964,1965,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729399,5020,1.32,20.89296131,1966,408,NA,20,1966,1967,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729401,5020,1.24,17.37800829,1968,408,NA,22,1968,1969,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729402,5020,1.25,17.7827941,1969,408,NA,23,1969,1970,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729403,5020,1.3,19.95262315,1970,408,NA,24,1970,1971,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729404,5020,1.3,19.95262315,1971,408,NA,25,1971,1972,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729405,5020,1.28,19.05460718,1972,408,NA,26,1972,1973,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729406,5020,1.32,20.89296131,1973,408,NA,27,1973,1974,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729407,5020,1.33,21.3796209,1974,408,NA,28,1974,1975,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729408,5020,1.24,17.37800829,1975,408,NA,29,1975,1976,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729409,5020,1.25,17.7827941,1976,408,NA,30,1976,1977,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729410,5020,1.25,17.7827941,1977,408,NA,31,1977,1978,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729411,5020,1.31,16.21810097,1978,408,NA,32,1978,1979,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729412,5020,1.2,15.84893192,1979,408,NA,33,1979,1980,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729413,5020,1.1,12.58925412,1980,408,NA,34,1980,1981,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
729414,5020,1,15.13561248,1981,408,NA,35,1981,1982,790,80,101,415,All Individuals,Count,Transformed Count,Census,None,Log,Log (10),None,5,1946,1981,1,36,None,2,-1.26,7.94,FALSE,NA,NA,Macaca sylvanus,Barbary macaque
